usuario_id,seguido_id,desde,interaccion_frecuencia,razón
1316,336,2020-03-02,Semanal,Interés en su contenido
465,359,2021-06-17,Mensual,Interés en su contenido
186,770,2023-12-27,Mensual,Interés en su contenido
142,1127,2024-07-21,Mensual,Interés en su contenido
1284,521,2021-11-08,Semanal,Interés en su contenido
1195,887,2023-09-22,Ocasional,Interés en su contenido
50,956,2021-04-10,Semanal,Interés en su contenido
615,598,2023-05-17,Ocasional,Interés en su contenido
965,1453,2024-11-06,Mensual,Interés en su contenido
797,362,2022-07-02,Diaria,Interés en su contenido
708,1295,2022-09-02,Mensual,Interés en su contenido
1116,581,2021-01-29,Diaria,Interés en su contenido
1285,998,2022-08-25,Mensual,Interés en su contenido
1249,236,2024-01-18,Ocasional,Interés en su contenido
131,906,2020-08-15,Diaria,Interés en su contenido
690,27,2022-05-26,Semanal,Interés en su contenido
340,158,2022-08-03,Diaria,Interés en su contenido
829,1157,2024-01-11,Diaria,Interés en su contenido
1323,588,2022-12-05,Diaria,Interés en su contenido
467,615,2020-11-06,Mensual,Interés en su contenido
1368,983,2023-02-05,Ocasional,Interés en su contenido
1432,120,2022-02-23,Mensual,Interés en su contenido
1152,417,2024-04-29,Ocasional,Interés en su contenido
922,590,2021-07-28,Diaria,Interés en su contenido
264,1212,2023-07-25,Semanal,Interés en su contenido
1098,830,2020-04-21,Mensual,Interés en su contenido
1361,1305,2023-10-27,Semanal,Interés en su contenido
413,59,2020-05-01,Semanal,Interés en su contenido
870,1300,2024-09-29,Mensual,Interés en su contenido
61,1178,2021-04-02,Ocasional,Interés en su contenido
1449,384,2022-04-10,Diaria,Interés en su contenido
1143,387,2024-07-22,Ocasional,Interés en su contenido
773,927,2021-05-26,Ocasional,Interés en su contenido
253,1229,2020-04-01,Ocasional,Interés en su contenido
851,848,2020-04-16,Ocasional,Interés en su contenido
160,4,2020-04-08,Semanal,Interés en su contenido
642,808,2021-08-14,Semanal,Interés en su contenido
570,357,2024-03-04,Diaria,Interés en su contenido
276,263,2024-09-18,Semanal,Interés en su contenido
1393,1432,2020-03-23,Semanal,Interés en su contenido
551,1257,2023-09-26,Diaria,Interés en su contenido
149,428,2024-04-01,Ocasional,Interés en su contenido
868,1135,2024-11-06,Semanal,Interés en su contenido
863,1000,2021-05-02,Mensual,Interés en su contenido
1265,34,2022-06-07,Diaria,Interés en su contenido
972,927,2023-09-28,Diaria,Interés en su contenido
671,307,2022-10-28,Mensual,Interés en su contenido
566,827,2022-10-27,Diaria,Interés en su contenido
562,602,2021-11-16,Diaria,Interés en su contenido
1264,337,2020-03-11,Semanal,Interés en su contenido
503,718,2021-05-29,Diaria,Interés en su contenido
938,623,2021-06-03,Ocasional,Interés en su contenido
739,890,2021-09-10,Mensual,Interés en su contenido
287,772,2021-08-07,Diaria,Interés en su contenido
226,1126,2021-03-07,Ocasional,Interés en su contenido
505,1003,2021-03-29,Semanal,Interés en su contenido
778,447,2024-07-11,Diaria,Interés en su contenido
1163,1198,2024-10-23,Mensual,Interés en su contenido
1317,782,2021-01-12,Mensual,Interés en su contenido
730,1194,2023-07-18,Semanal,Interés en su contenido
1310,375,2020-04-30,Ocasional,Interés en su contenido
1404,899,2021-11-23,Ocasional,Interés en su contenido
539,190,2022-11-16,Mensual,Interés en su contenido
1245,93,2024-09-18,Diaria,Interés en su contenido
444,1122,2021-12-31,Mensual,Interés en su contenido
6,367,2021-08-21,Mensual,Interés en su contenido
704,131,2021-06-04,Semanal,Interés en su contenido
556,591,2022-02-02,Mensual,Interés en su contenido
1126,818,2021-07-27,Ocasional,Interés en su contenido
289,370,2024-05-12,Semanal,Interés en su contenido
1173,2,2021-05-17,Mensual,Interés en su contenido
961,494,2022-01-26,Semanal,Interés en su contenido
136,518,2022-09-30,Mensual,Interés en su contenido
566,775,2022-05-10,Diaria,Interés en su contenido
766,1407,2021-04-30,Ocasional,Interés en su contenido
599,1189,2022-06-07,Semanal,Interés en su contenido
305,733,2020-10-04,Diaria,Interés en su contenido
235,534,2023-06-27,Ocasional,Interés en su contenido
1078,1059,2020-08-23,Ocasional,Interés en su contenido
1208,649,2024-07-16,Semanal,Interés en su contenido
131,275,2021-12-22,Diaria,Interés en su contenido
593,29,2024-11-19,Mensual,Interés en su contenido
585,500,2024-08-14,Ocasional,Interés en su contenido
1015,1333,2020-11-05,Ocasional,Interés en su contenido
871,195,2022-04-26,Semanal,Interés en su contenido
107,1431,2024-10-09,Mensual,Interés en su contenido
1029,106,2025-02-13,Diaria,Interés en su contenido
205,1481,2022-06-17,Ocasional,Interés en su contenido
499,176,2024-10-05,Mensual,Interés en su contenido
423,1193,2021-07-28,Diaria,Interés en su contenido
665,189,2021-07-19,Diaria,Interés en su contenido
513,469,2021-12-23,Ocasional,Interés en su contenido
986,1096,2021-10-13,Ocasional,Interés en su contenido
350,1293,2021-03-26,Diaria,Interés en su contenido
31,996,2021-08-27,Diaria,Interés en su contenido
1124,935,2024-06-04,Diaria,Interés en su contenido
93,1260,2022-09-18,Ocasional,Interés en su contenido
1293,1075,2023-10-08,Mensual,Interés en su contenido
867,617,2023-07-07,Semanal,Interés en su contenido
678,931,2021-03-03,Diaria,Interés en su contenido
833,1316,2025-02-12,Diaria,Interés en su contenido
293,877,2024-12-22,Semanal,Interés en su contenido
501,1478,2023-12-08,Diaria,Interés en su contenido
763,540,2020-11-03,Semanal,Interés en su contenido
1448,402,2020-07-16,Diaria,Interés en su contenido
828,69,2024-06-23,Diaria,Interés en su contenido
379,400,2020-12-13,Diaria,Interés en su contenido
379,1029,2024-06-25,Ocasional,Interés en su contenido
687,1326,2023-07-22,Mensual,Interés en su contenido
1425,39,2021-10-29,Mensual,Interés en su contenido
283,345,2021-05-26,Mensual,Interés en su contenido
196,197,2021-02-04,Mensual,Interés en su contenido
315,56,2022-03-12,Ocasional,Interés en su contenido
838,984,2022-01-30,Diaria,Interés en su contenido
212,646,2023-12-12,Diaria,Interés en su contenido
525,655,2022-11-10,Semanal,Interés en su contenido
40,196,2021-09-02,Ocasional,Interés en su contenido
870,512,2020-11-02,Semanal,Interés en su contenido
1064,289,2022-05-13,Semanal,Interés en su contenido
278,280,2023-02-01,Mensual,Interés en su contenido
77,65,2023-03-11,Mensual,Interés en su contenido
476,1203,2022-09-21,Semanal,Interés en su contenido
378,1362,2022-05-05,Semanal,Interés en su contenido
97,763,2023-12-14,Ocasional,Interés en su contenido
287,1342,2021-04-08,Diaria,Interés en su contenido
196,1359,2021-06-19,Diaria,Interés en su contenido
155,234,2024-03-21,Semanal,Interés en su contenido
525,1095,2020-05-22,Mensual,Interés en su contenido
429,458,2020-08-03,Diaria,Interés en su contenido
395,467,2022-05-26,Semanal,Interés en su contenido
745,372,2024-07-16,Ocasional,Interés en su contenido
240,440,2024-05-04,Semanal,Interés en su contenido
499,1225,2022-05-24,Mensual,Interés en su contenido
688,844,2022-04-25,Mensual,Interés en su contenido
683,259,2021-07-23,Semanal,Interés en su contenido
624,381,2021-08-23,Ocasional,Interés en su contenido
612,611,2023-01-27,Ocasional,Interés en su contenido
877,11,2024-01-01,Semanal,Interés en su contenido
541,1196,2021-11-10,Ocasional,Interés en su contenido
880,396,2020-06-03,Mensual,Interés en su contenido
357,112,2022-01-04,Mensual,Interés en su contenido
507,896,2024-05-02,Ocasional,Interés en su contenido
1304,1373,2022-04-22,Ocasional,Interés en su contenido
1281,497,2024-07-14,Mensual,Interés en su contenido
1356,1174,2023-04-04,Mensual,Interés en su contenido
364,1274,2020-08-06,Ocasional,Interés en su contenido
476,730,2024-08-13,Ocasional,Interés en su contenido
189,686,2021-12-15,Semanal,Interés en su contenido
786,828,2023-11-17,Mensual,Interés en su contenido
681,1153,2022-06-10,Diaria,Interés en su contenido
548,1000,2022-01-16,Ocasional,Interés en su contenido
323,758,2021-05-21,Semanal,Interés en su contenido
1310,1047,2020-07-31,Diaria,Interés en su contenido
1269,854,2020-08-06,Ocasional,Interés en su contenido
615,216,2023-07-23,Mensual,Interés en su contenido
969,757,2020-03-10,Semanal,Interés en su contenido
511,829,2024-11-02,Mensual,Interés en su contenido
327,591,2022-04-01,Ocasional,Interés en su contenido
555,807,2020-03-03,Ocasional,Interés en su contenido
1474,651,2024-01-08,Semanal,Interés en su contenido
693,427,2024-04-19,Ocasional,Interés en su contenido
261,1299,2022-03-22,Mensual,Interés en su contenido
512,316,2023-11-07,Mensual,Interés en su contenido
415,1449,2023-05-27,Ocasional,Interés en su contenido
1012,1214,2024-04-05,Semanal,Interés en su contenido
610,212,2023-03-31,Mensual,Interés en su contenido
973,168,2024-06-21,Semanal,Interés en su contenido
1313,938,2023-03-07,Ocasional,Interés en su contenido
403,1281,2025-02-05,Semanal,Interés en su contenido
664,556,2024-07-25,Semanal,Interés en su contenido
1351,587,2023-11-29,Ocasional,Interés en su contenido
1124,673,2024-04-16,Ocasional,Interés en su contenido
505,1370,2020-12-12,Diaria,Interés en su contenido
846,208,2022-11-07,Ocasional,Interés en su contenido
1497,1103,2024-02-18,Semanal,Interés en su contenido
607,1159,2022-02-23,Ocasional,Interés en su contenido
1209,1309,2022-01-29,Semanal,Interés en su contenido
1262,1247,2022-02-17,Diaria,Interés en su contenido
851,197,2022-12-24,Mensual,Interés en su contenido
460,1380,2022-01-16,Diaria,Interés en su contenido
208,807,2024-06-02,Semanal,Interés en su contenido
1423,946,2021-12-15,Diaria,Interés en su contenido
60,502,2024-05-24,Diaria,Interés en su contenido
1019,427,2020-06-20,Ocasional,Interés en su contenido
268,778,2021-09-20,Diaria,Interés en su contenido
966,1416,2022-04-02,Semanal,Interés en su contenido
9,196,2024-09-11,Mensual,Interés en su contenido
1099,1257,2022-08-18,Ocasional,Interés en su contenido
988,1135,2020-08-18,Diaria,Interés en su contenido
1139,287,2022-12-06,Ocasional,Interés en su contenido
1499,564,2023-11-14,Semanal,Interés en su contenido
242,270,2022-08-13,Diaria,Interés en su contenido
585,816,2024-01-20,Semanal,Interés en su contenido
1213,610,2023-05-21,Ocasional,Interés en su contenido
813,377,2021-01-16,Mensual,Interés en su contenido
1316,570,2021-08-03,Semanal,Interés en su contenido
1185,1297,2024-02-04,Semanal,Interés en su contenido
796,1439,2024-08-12,Mensual,Interés en su contenido
706,831,2021-03-04,Semanal,Interés en su contenido
392,1225,2021-06-16,Diaria,Interés en su contenido
943,285,2020-07-11,Mensual,Interés en su contenido
24,441,2024-01-29,Ocasional,Interés en su contenido
1173,538,2023-07-25,Diaria,Interés en su contenido
1368,225,2021-06-20,Semanal,Interés en su contenido
1315,848,2022-07-14,Ocasional,Interés en su contenido
1472,599,2024-10-02,Ocasional,Interés en su contenido
182,1271,2020-06-16,Ocasional,Interés en su contenido
925,1377,2025-01-14,Diaria,Interés en su contenido
844,1397,2023-02-27,Semanal,Interés en su contenido
448,674,2021-07-01,Semanal,Interés en su contenido
1229,228,2021-07-06,Diaria,Interés en su contenido
215,798,2022-05-20,Diaria,Interés en su contenido
348,717,2021-04-13,Diaria,Interés en su contenido
233,822,2024-01-08,Semanal,Interés en su contenido
1163,1233,2022-12-10,Mensual,Interés en su contenido
1498,1199,2023-10-13,Diaria,Interés en su contenido
167,399,2021-02-19,Semanal,Interés en su contenido
475,558,2023-12-24,Mensual,Interés en su contenido
442,976,2022-03-29,Ocasional,Interés en su contenido
988,1346,2023-12-14,Semanal,Interés en su contenido
1405,561,2021-06-09,Diaria,Interés en su contenido
577,94,2020-08-12,Mensual,Interés en su contenido
182,1492,2020-10-28,Diaria,Interés en su contenido
146,890,2024-03-14,Ocasional,Interés en su contenido
1230,444,2020-05-06,Diaria,Interés en su contenido
152,515,2020-09-10,Diaria,Interés en su contenido
213,821,2021-02-09,Diaria,Interés en su contenido
580,1185,2023-12-13,Diaria,Interés en su contenido
52,98,2022-11-19,Mensual,Interés en su contenido
1344,331,2022-12-17,Diaria,Interés en su contenido
309,1085,2022-12-26,Ocasional,Interés en su contenido
855,244,2023-06-26,Ocasional,Interés en su contenido
1115,68,2024-01-08,Diaria,Interés en su contenido
1272,1234,2024-01-24,Diaria,Interés en su contenido
505,598,2022-08-28,Semanal,Interés en su contenido
250,411,2024-03-27,Mensual,Interés en su contenido
1028,675,2022-04-05,Mensual,Interés en su contenido
1134,535,2023-04-15,Semanal,Interés en su contenido
123,430,2021-02-07,Mensual,Interés en su contenido
405,153,2020-07-09,Ocasional,Interés en su contenido
126,1425,2023-09-18,Ocasional,Interés en su contenido
1159,1375,2024-01-04,Diaria,Interés en su contenido
995,1212,2022-09-26,Diaria,Interés en su contenido
421,1114,2022-09-06,Ocasional,Interés en su contenido
121,164,2022-05-15,Mensual,Interés en su contenido
985,203,2024-06-22,Diaria,Interés en su contenido
1015,238,2024-12-12,Semanal,Interés en su contenido
277,1445,2020-07-06,Diaria,Interés en su contenido
1194,1397,2024-04-30,Mensual,Interés en su contenido
34,278,2021-03-18,Mensual,Interés en su contenido
951,1371,2023-07-18,Diaria,Interés en su contenido
331,1067,2024-04-21,Diaria,Interés en su contenido
593,189,2024-05-02,Diaria,Interés en su contenido
272,1093,2024-07-27,Ocasional,Interés en su contenido
1295,613,2024-07-14,Mensual,Interés en su contenido
280,993,2020-08-06,Diaria,Interés en su contenido
1245,437,2022-02-25,Ocasional,Interés en su contenido
976,1045,2020-04-22,Mensual,Interés en su contenido
1006,780,2021-07-24,Mensual,Interés en su contenido
878,385,2022-08-03,Diaria,Interés en su contenido
490,1135,2025-01-18,Diaria,Interés en su contenido
77,1305,2021-04-22,Ocasional,Interés en su contenido
618,1259,2022-01-06,Diaria,Interés en su contenido
1347,777,2020-03-03,Diaria,Interés en su contenido
1183,587,2020-03-27,Semanal,Interés en su contenido
511,1314,2024-12-01,Semanal,Interés en su contenido
244,714,2021-12-23,Mensual,Interés en su contenido
99,156,2022-01-23,Semanal,Interés en su contenido
169,688,2022-09-23,Semanal,Interés en su contenido
679,106,2021-03-06,Ocasional,Interés en su contenido
1223,1359,2024-09-09,Ocasional,Interés en su contenido
1356,380,2024-03-26,Ocasional,Interés en su contenido
137,833,2021-03-06,Mensual,Interés en su contenido
706,691,2022-11-16,Semanal,Interés en su contenido
662,360,2022-10-25,Ocasional,Interés en su contenido
639,154,2020-04-22,Diaria,Interés en su contenido
285,1297,2021-10-26,Mensual,Interés en su contenido
580,997,2021-10-21,Diaria,Interés en su contenido
1450,956,2020-08-14,Mensual,Interés en su contenido
1067,1077,2022-02-08,Mensual,Interés en su contenido
873,800,2024-06-27,Mensual,Interés en su contenido
1038,1168,2020-03-27,Semanal,Interés en su contenido
120,63,2021-10-09,Mensual,Interés en su contenido
218,1211,2023-04-17,Mensual,Interés en su contenido
887,925,2022-06-12,Mensual,Interés en su contenido
1359,824,2021-11-26,Semanal,Interés en su contenido
749,746,2021-01-18,Mensual,Interés en su contenido
299,378,2022-04-10,Ocasional,Interés en su contenido
1307,1484,2023-11-27,Diaria,Interés en su contenido
934,320,2022-01-09,Ocasional,Interés en su contenido
828,273,2021-01-30,Mensual,Interés en su contenido
830,752,2021-06-09,Diaria,Interés en su contenido
531,784,2025-01-04,Diaria,Interés en su contenido
976,47,2023-04-17,Diaria,Interés en su contenido
170,603,2020-05-25,Mensual,Interés en su contenido
228,456,2022-06-15,Diaria,Interés en su contenido
775,1043,2024-11-02,Ocasional,Interés en su contenido
369,534,2024-07-13,Diaria,Interés en su contenido
1435,1049,2024-10-16,Ocasional,Interés en su contenido
211,11,2021-01-27,Diaria,Interés en su contenido
1307,844,2024-10-03,Ocasional,Interés en su contenido
1109,1228,2024-05-24,Diaria,Interés en su contenido
1377,557,2023-04-04,Diaria,Interés en su contenido
996,278,2024-12-16,Semanal,Interés en su contenido
16,967,2024-12-19,Ocasional,Interés en su contenido
346,394,2024-02-01,Diaria,Interés en su contenido
250,720,2022-02-04,Semanal,Interés en su contenido
287,470,2021-04-30,Semanal,Interés en su contenido
1131,304,2021-08-30,Semanal,Interés en su contenido
359,1139,2025-02-11,Semanal,Interés en su contenido
582,27,2021-04-14,Mensual,Interés en su contenido
965,670,2024-03-30,Semanal,Interés en su contenido
1078,395,2024-08-14,Mensual,Interés en su contenido
1242,1211,2020-06-26,Mensual,Interés en su contenido
66,3,2021-05-16,Mensual,Interés en su contenido
189,80,2024-08-04,Mensual,Interés en su contenido
927,1240,2022-02-26,Diaria,Interés en su contenido
468,764,2025-01-16,Diaria,Interés en su contenido
1443,237,2024-09-28,Semanal,Interés en su contenido
711,1367,2023-07-10,Diaria,Interés en su contenido
644,398,2021-12-11,Mensual,Interés en su contenido
908,299,2025-01-25,Semanal,Interés en su contenido
1318,1087,2020-12-14,Semanal,Interés en su contenido
16,895,2020-06-26,Mensual,Interés en su contenido
241,1310,2023-09-21,Mensual,Interés en su contenido
1003,1140,2021-09-02,Diaria,Interés en su contenido
1227,952,2020-06-02,Semanal,Interés en su contenido
60,262,2022-07-03,Diaria,Interés en su contenido
150,49,2023-10-20,Mensual,Interés en su contenido
210,1274,2024-01-25,Mensual,Interés en su contenido
