usuario_id,seguido_id,desde,interaccion_frecuencia,razón,estado
1409,1509,2021-08-19,Diaria,Interés en su contenido,No Verified
800,1509,2024-06-04,Semanal,Interés en su contenido,No Verified
390,1510,2023-04-29,Ocasional,Interés en su contenido,No Verified
866,1510,2023-05-04,Diaria,Interés en su contenido,No Verified
1039,1510,2024-05-10,Mensual,Interés en su contenido,No Verified
1211,1510,2024-02-05,Mensual,Interés en su contenido,No Verified
375,1510,2024-03-19,Ocasional,Interés en su contenido,No Verified
1275,1510,2022-06-09,Mensual,Interés en su contenido,No Verified
990,1510,2024-11-24,Ocasional,Interés en su contenido,No Verified
1330,1510,2022-05-02,Semanal,Interés en su contenido,No Verified
686,1510,2020-03-05,Semanal,Interés en su contenido,No Verified
883,1510,2024-08-11,Ocasional,Interés en su contenido,No Verified
1197,1510,2023-03-28,Ocasional,Interés en su contenido,No Verified
1059,1510,2021-07-28,Diaria,Interés en su contenido,No Verified
1119,1510,2021-09-13,Diaria,Interés en su contenido,No Verified
817,1510,2024-08-17,Ocasional,Interés en su contenido,No Verified
583,1510,2023-09-19,Mensual,Interés en su contenido,No Verified
539,1511,2020-11-26,Diaria,Interés en su contenido,No Verified
462,1511,2024-08-29,Ocasional,Interés en su contenido,No Verified
432,1511,2021-03-27,Semanal,Interés en su contenido,No Verified
1013,1511,2023-11-27,Semanal,Interés en su contenido,No Verified
1101,1511,2021-06-03,Diaria,Interés en su contenido,No Verified
1467,1511,2023-08-24,Semanal,Interés en su contenido,No Verified
31,1511,2020-03-23,Semanal,Interés en su contenido,No Verified
549,1511,2023-05-19,Ocasional,Interés en su contenido,No Verified
436,1512,2023-01-19,Mensual,Interés en su contenido,No Verified
645,1512,2024-03-27,Semanal,Interés en su contenido,No Verified
185,1512,2023-11-10,Diaria,Interés en su contenido,No Verified
289,1512,2024-07-02,Semanal,Interés en su contenido,No Verified
12,1512,2021-07-10,Diaria,Interés en su contenido,No Verified
1321,1512,2023-11-18,Ocasional,Interés en su contenido,No Verified
521,1512,2024-03-04,Diaria,Interés en su contenido,No Verified
1389,1512,2021-06-02,Diaria,Interés en su contenido,No Verified
326,1512,2024-08-14,Ocasional,Interés en su contenido,No Verified
757,1512,2021-09-07,Semanal,Interés en su contenido,No Verified
864,1512,2022-10-14,Ocasional,Interés en su contenido,No Verified
499,1512,2021-01-21,Diaria,Interés en su contenido,No Verified
619,1512,2024-02-03,Ocasional,Interés en su contenido,No Verified
1116,1513,2024-06-07,Semanal,Interés en su contenido,No Verified
1358,1513,2023-08-05,Diaria,Interés en su contenido,No Verified
315,1513,2024-06-23,Mensual,Interés en su contenido,No Verified
1124,1513,2020-07-15,Semanal,Interés en su contenido,No Verified
942,1513,2022-05-29,Ocasional,Interés en su contenido,No Verified
42,1513,2021-08-08,Diaria,Interés en su contenido,No Verified
35,1513,2024-08-25,Mensual,Interés en su contenido,No Verified
1422,1513,2024-10-02,Semanal,Interés en su contenido,No Verified
986,1513,2024-05-03,Mensual,Interés en su contenido,No Verified
806,1513,2024-07-08,Diaria,Interés en su contenido,No Verified
355,1513,2021-07-18,Mensual,Interés en su contenido,No Verified
681,1513,2022-12-14,Ocasional,Interés en su contenido,No Verified
1182,1513,2025-01-07,Ocasional,Interés en su contenido,No Verified
1252,1513,2024-08-19,Mensual,Interés en su contenido,No Verified
835,1513,2023-07-14,Ocasional,Interés en su contenido,No Verified
1106,1514,2023-11-29,Mensual,Interés en su contenido,No Verified
438,1514,2021-06-25,Ocasional,Interés en su contenido,No Verified
814,1514,2022-09-10,Ocasional,Interés en su contenido,No Verified
421,1514,2021-03-16,Diaria,Interés en su contenido,No Verified
416,1514,2023-03-18,Semanal,Interés en su contenido,No Verified
512,1514,2022-08-16,Ocasional,Interés en su contenido,No Verified
175,1514,2021-03-22,Semanal,Interés en su contenido,No Verified
1220,1514,2023-04-06,Semanal,Interés en su contenido,No Verified
1432,1514,2024-03-10,Semanal,Interés en su contenido,No Verified
1402,1514,2020-10-04,Diaria,Interés en su contenido,No Verified
511,1514,2024-03-18,Diaria,Interés en su contenido,No Verified
413,1514,2023-11-17,Mensual,Interés en su contenido,No Verified
492,1514,2021-08-14,Mensual,Interés en su contenido,No Verified
1109,1514,2023-08-11,Diaria,Interés en su contenido,No Verified
358,1514,2025-01-05,Ocasional,Interés en su contenido,No Verified
725,1515,2023-05-28,Diaria,Interés en su contenido,No Verified
1332,1515,2024-02-08,Mensual,Interés en su contenido,No Verified
343,1515,2021-08-30,Mensual,Interés en su contenido,No Verified
40,1515,2024-09-18,Ocasional,Interés en su contenido,No Verified
245,1515,2024-12-26,Mensual,Interés en su contenido,No Verified
1472,1515,2021-05-02,Mensual,Interés en su contenido,No Verified
1080,1515,2023-03-25,Mensual,Interés en su contenido,No Verified
854,1515,2024-04-19,Ocasional,Interés en su contenido,No Verified
80,1515,2023-10-23,Diaria,Interés en su contenido,No Verified
489,1515,2023-02-17,Ocasional,Interés en su contenido,No Verified
1344,1515,2022-12-30,Mensual,Interés en su contenido,No Verified
295,1515,2023-01-11,Semanal,Interés en su contenido,No Verified
969,1516,2020-09-24,Diaria,Interés en su contenido,No Verified
330,1516,2022-05-30,Mensual,Interés en su contenido,No Verified
117,1516,2023-11-01,Diaria,Interés en su contenido,No Verified
622,1516,2023-03-29,Semanal,Interés en su contenido,No Verified
505,1516,2025-03-02,Diaria,Interés en su contenido,No Verified
1076,1516,2024-06-20,Mensual,Interés en su contenido,No Verified
1363,1516,2022-02-13,Mensual,Interés en su contenido,No Verified
862,1517,2020-09-21,Diaria,Interés en su contenido,No Verified
854,1517,2022-06-15,Diaria,Interés en su contenido,No Verified
595,1517,2021-11-14,Diaria,Interés en su contenido,No Verified
567,1517,2020-08-26,Mensual,Interés en su contenido,No Verified
1485,1517,2023-02-09,Diaria,Interés en su contenido,No Verified
744,1517,2022-02-11,Diaria,Interés en su contenido,No Verified
975,1517,2021-07-07,Mensual,Interés en su contenido,No Verified
1374,1517,2021-01-16,Mensual,Interés en su contenido,No Verified
939,1517,2024-10-10,Mensual,Interés en su contenido,No Verified
307,1517,2025-01-27,Mensual,Interés en su contenido,No Verified
1028,1518,2022-03-09,Semanal,Interés en su contenido,No Verified
688,1518,2021-01-26,Semanal,Interés en su contenido,No Verified
374,1518,2023-04-04,Semanal,Interés en su contenido,No Verified
437,1518,2022-04-14,Mensual,Interés en su contenido,No Verified
190,1518,2020-07-26,Semanal,Interés en su contenido,No Verified
667,1518,2022-12-14,Mensual,Interés en su contenido,No Verified
1104,1518,2024-07-08,Ocasional,Interés en su contenido,No Verified
1100,1519,2023-05-29,Diaria,Interés en su contenido,No Verified
800,1519,2023-04-22,Ocasional,Interés en su contenido,No Verified
859,1519,2022-05-28,Mensual,Interés en su contenido,No Verified
814,1519,2024-10-17,Mensual,Interés en su contenido,No Verified
132,1519,2021-12-11,Diaria,Interés en su contenido,No Verified
850,1519,2022-02-19,Mensual,Interés en su contenido,No Verified
63,1519,2024-06-13,Mensual,Interés en su contenido,No Verified
156,1519,2024-12-12,Diaria,Interés en su contenido,No Verified
966,1520,2020-07-19,Ocasional,Interés en su contenido,No Verified
1260,1520,2023-10-15,Mensual,Interés en su contenido,No Verified
734,1520,2024-06-01,Diaria,Interés en su contenido,No Verified
831,1520,2021-02-04,Semanal,Interés en su contenido,No Verified
132,1520,2021-01-19,Ocasional,Interés en su contenido,No Verified
1166,1520,2024-05-12,Ocasional,Interés en su contenido,No Verified
663,1520,2022-08-04,Ocasional,Interés en su contenido,No Verified
964,1520,2021-08-23,Ocasional,Interés en su contenido,No Verified
379,1520,2023-04-06,Mensual,Interés en su contenido,No Verified
220,1520,2020-11-13,Mensual,Interés en su contenido,No Verified
1074,1521,2024-07-15,Semanal,Interés en su contenido,No Verified
1036,1521,2023-10-18,Mensual,Interés en su contenido,No Verified
671,1521,2024-02-19,Semanal,Interés en su contenido,No Verified
389,1521,2022-12-17,Semanal,Interés en su contenido,No Verified
1040,1521,2023-09-01,Ocasional,Interés en su contenido,No Verified
79,1521,2023-05-21,Mensual,Interés en su contenido,No Verified
661,1521,2024-03-15,Semanal,Interés en su contenido,No Verified
412,1521,2021-01-11,Ocasional,Interés en su contenido,No Verified
1037,1522,2024-01-06,Semanal,Interés en su contenido,No Verified
1094,1522,2023-04-09,Diaria,Interés en su contenido,No Verified
254,1522,2021-03-27,Ocasional,Interés en su contenido,No Verified
719,1522,2022-09-21,Ocasional,Interés en su contenido,No Verified
27,1522,2020-07-22,Ocasional,Interés en su contenido,No Verified
1296,1522,2024-01-21,Mensual,Interés en su contenido,No Verified
1092,1522,2023-02-25,Semanal,Interés en su contenido,No Verified
1027,1522,2024-07-26,Diaria,Interés en su contenido,No Verified
728,1522,2023-05-16,Ocasional,Interés en su contenido,No Verified
104,1522,2021-02-01,Semanal,Interés en su contenido,No Verified
97,1522,2022-04-07,Ocasional,Interés en su contenido,No Verified
763,1523,2024-12-18,Mensual,Interés en su contenido,No Verified
1115,1523,2022-02-15,Ocasional,Interés en su contenido,No Verified
884,1523,2022-06-30,Diaria,Interés en su contenido,No Verified
906,1523,2024-03-03,Mensual,Interés en su contenido,No Verified
612,1523,2022-05-19,Diaria,Interés en su contenido,No Verified
290,1523,2025-02-09,Semanal,Interés en su contenido,No Verified
1059,1523,2023-04-08,Diaria,Interés en su contenido,No Verified
73,1523,2020-07-13,Diaria,Interés en su contenido,No Verified
483,1524,2020-07-31,Ocasional,Interés en su contenido,No Verified
963,1524,2022-09-12,Semanal,Interés en su contenido,No Verified
170,1524,2022-10-09,Ocasional,Interés en su contenido,No Verified
344,1524,2020-09-18,Semanal,Interés en su contenido,No Verified
1094,1524,2024-10-04,Mensual,Interés en su contenido,No Verified
489,1524,2023-03-20,Mensual,Interés en su contenido,No Verified
1010,1524,2020-08-24,Mensual,Interés en su contenido,No Verified
1246,1524,2020-04-02,Diaria,Interés en su contenido,No Verified
79,1524,2023-10-27,Mensual,Interés en su contenido,No Verified
92,1524,2020-06-23,Semanal,Interés en su contenido,No Verified
41,1524,2021-10-25,Ocasional,Interés en su contenido,No Verified
308,1524,2020-03-27,Semanal,Interés en su contenido,No Verified
1003,1524,2024-05-30,Mensual,Interés en su contenido,No Verified
387,1524,2024-08-02,Mensual,Interés en su contenido,No Verified
1483,1524,2022-10-13,Mensual,Interés en su contenido,No Verified
1215,1525,2022-03-13,Mensual,Interés en su contenido,No Verified
287,1525,2023-05-16,Diaria,Interés en su contenido,No Verified
275,1525,2022-02-23,Semanal,Interés en su contenido,No Verified
1044,1525,2022-07-10,Ocasional,Interés en su contenido,No Verified
1160,1525,2024-08-23,Mensual,Interés en su contenido,No Verified
292,1525,2023-07-27,Mensual,Interés en su contenido,No Verified
846,1526,2020-11-14,Semanal,Interés en su contenido,No Verified
1442,1526,2022-11-29,Ocasional,Interés en su contenido,No Verified
66,1526,2023-10-25,Diaria,Interés en su contenido,No Verified
804,1526,2022-11-21,Semanal,Interés en su contenido,No Verified
919,1526,2024-10-22,Semanal,Interés en su contenido,No Verified
790,1527,2024-07-06,Semanal,Interés en su contenido,No Verified
1464,1527,2024-03-13,Semanal,Interés en su contenido,No Verified
1139,1527,2021-10-23,Diaria,Interés en su contenido,No Verified
1010,1527,2022-08-27,Semanal,Interés en su contenido,No Verified
1484,1527,2020-06-07,Diaria,Interés en su contenido,No Verified
852,1527,2022-05-09,Ocasional,Interés en su contenido,No Verified
939,1527,2024-11-18,Mensual,Interés en su contenido,No Verified
201,1527,2023-07-08,Diaria,Interés en su contenido,No Verified
358,1527,2022-04-12,Mensual,Interés en su contenido,No Verified
300,1527,2024-10-14,Ocasional,Interés en su contenido,No Verified
397,1527,2022-06-03,Diaria,Interés en su contenido,No Verified
937,1527,2020-10-10,Semanal,Interés en su contenido,No Verified
464,1527,2021-11-13,Ocasional,Interés en su contenido,No Verified
1174,1527,2024-03-17,Ocasional,Interés en su contenido,No Verified
967,1528,2020-04-23,Diaria,Interés en su contenido,No Verified
1157,1528,2023-12-07,Ocasional,Interés en su contenido,No Verified
76,1528,2024-08-09,Diaria,Interés en su contenido,No Verified
353,1528,2024-03-04,Semanal,Interés en su contenido,No Verified
1261,1528,2020-05-31,Diaria,Interés en su contenido,No Verified
52,1529,2022-02-12,Mensual,Interés en su contenido,No Verified
630,1529,2021-10-14,Diaria,Interés en su contenido,No Verified
1464,1529,2020-08-10,Diaria,Interés en su contenido,No Verified
1195,1529,2020-11-29,Semanal,Interés en su contenido,No Verified
80,1529,2022-07-19,Diaria,Interés en su contenido,No Verified
255,1529,2020-09-24,Mensual,Interés en su contenido,No Verified
1151,1529,2021-02-14,Ocasional,Interés en su contenido,No Verified
1329,1529,2024-06-23,Semanal,Interés en su contenido,No Verified
1201,1529,2021-06-11,Mensual,Interés en su contenido,No Verified
336,1529,2023-06-20,Semanal,Interés en su contenido,No Verified
857,1529,2020-08-25,Mensual,Interés en su contenido,No Verified
206,1530,2023-11-03,Semanal,Interés en su contenido,No Verified
1360,1530,2020-07-15,Ocasional,Interés en su contenido,No Verified
243,1530,2023-06-22,Mensual,Interés en su contenido,No Verified
426,1530,2024-08-27,Ocasional,Interés en su contenido,No Verified
646,1530,2021-08-04,Diaria,Interés en su contenido,No Verified
1338,1530,2020-11-09,Ocasional,Interés en su contenido,No Verified
223,1530,2024-03-14,Semanal,Interés en su contenido,No Verified
397,1530,2023-12-03,Diaria,Interés en su contenido,No Verified
1209,1530,2023-09-27,Semanal,Interés en su contenido,No Verified
724,1530,2022-06-30,Ocasional,Interés en su contenido,No Verified
1442,1530,2023-07-26,Semanal,Interés en su contenido,No Verified
1243,1530,2024-06-02,Ocasional,Interés en su contenido,No Verified
718,1531,2020-05-04,Semanal,Interés en su contenido,No Verified
987,1531,2023-02-01,Mensual,Interés en su contenido,No Verified
189,1531,2024-05-26,Ocasional,Interés en su contenido,No Verified
549,1531,2022-09-16,Diaria,Interés en su contenido,No Verified
44,1531,2021-08-09,Diaria,Interés en su contenido,No Verified
829,1531,2020-03-03,Semanal,Interés en su contenido,No Verified
693,1532,2023-02-05,Semanal,Interés en su contenido,No Verified
199,1532,2020-06-13,Mensual,Interés en su contenido,No Verified
951,1532,2020-09-09,Mensual,Interés en su contenido,No Verified
469,1532,2024-09-14,Semanal,Interés en su contenido,No Verified
694,1532,2020-06-27,Ocasional,Interés en su contenido,No Verified
1175,1532,2020-03-31,Ocasional,Interés en su contenido,No Verified
675,1532,2020-06-24,Semanal,Interés en su contenido,No Verified
1007,1532,2020-09-13,Diaria,Interés en su contenido,No Verified
160,1533,2024-08-30,Mensual,Interés en su contenido,No Verified
115,1533,2021-06-18,Diaria,Interés en su contenido,No Verified
1111,1533,2023-09-23,Ocasional,Interés en su contenido,No Verified
757,1533,2020-03-15,Ocasional,Interés en su contenido,No Verified
1308,1533,2023-07-26,Mensual,Interés en su contenido,No Verified
718,1533,2021-09-29,Mensual,Interés en su contenido,No Verified
884,1533,2020-09-12,Mensual,Interés en su contenido,No Verified
96,1533,2021-03-04,Diaria,Interés en su contenido,No Verified
965,1534,2021-03-15,Ocasional,Interés en su contenido,No Verified
901,1534,2020-03-27,Diaria,Interés en su contenido,No Verified
757,1534,2023-06-06,Semanal,Interés en su contenido,No Verified
1102,1534,2024-09-23,Ocasional,Interés en su contenido,No Verified
286,1534,2024-11-30,Diaria,Interés en su contenido,No Verified
475,1534,2024-04-02,Diaria,Interés en su contenido,No Verified
208,1534,2020-03-17,Ocasional,Interés en su contenido,No Verified
875,1534,2020-07-05,Diaria,Interés en su contenido,No Verified
682,1534,2025-02-14,Mensual,Interés en su contenido,No Verified
1095,1534,2020-08-18,Ocasional,Interés en su contenido,No Verified
859,1534,2022-10-15,Mensual,Interés en su contenido,No Verified
553,1534,2021-07-23,Semanal,Interés en su contenido,No Verified
1194,1535,2022-04-06,Ocasional,Interés en su contenido,No Verified
1316,1535,2021-06-11,Semanal,Interés en su contenido,No Verified
590,1535,2023-08-25,Mensual,Interés en su contenido,No Verified
1424,1535,2023-09-09,Mensual,Interés en su contenido,No Verified
783,1535,2022-01-26,Diaria,Interés en su contenido,No Verified
1148,1535,2022-07-23,Mensual,Interés en su contenido,No Verified
124,1535,2023-02-20,Semanal,Interés en su contenido,No Verified
742,1535,2023-07-31,Diaria,Interés en su contenido,No Verified
589,1535,2022-10-18,Mensual,Interés en su contenido,No Verified
1328,1535,2023-01-19,Semanal,Interés en su contenido,No Verified
1380,1535,2020-06-22,Ocasional,Interés en su contenido,No Verified
983,1536,2022-06-04,Diaria,Interés en su contenido,No Verified
952,1536,2020-06-14,Mensual,Interés en su contenido,No Verified
339,1536,2024-03-29,Ocasional,Interés en su contenido,No Verified
768,1536,2022-09-01,Ocasional,Interés en su contenido,No Verified
445,1536,2021-06-03,Mensual,Interés en su contenido,No Verified
1218,1536,2023-02-27,Diaria,Interés en su contenido,No Verified
1318,1536,2021-05-16,Semanal,Interés en su contenido,No Verified
332,1536,2021-03-28,Ocasional,Interés en su contenido,No Verified
464,1537,2020-04-19,Semanal,Interés en su contenido,No Verified
1206,1537,2021-08-02,Ocasional,Interés en su contenido,No Verified
33,1537,2020-09-13,Mensual,Interés en su contenido,No Verified
1496,1537,2022-02-08,Diaria,Interés en su contenido,No Verified
1078,1537,2022-12-13,Semanal,Interés en su contenido,No Verified
1290,1537,2021-04-11,Mensual,Interés en su contenido,No Verified
882,1537,2020-05-22,Mensual,Interés en su contenido,No Verified
1336,1537,2024-03-09,Semanal,Interés en su contenido,No Verified
526,1537,2023-09-08,Mensual,Interés en su contenido,No Verified
1365,1537,2022-05-25,Diaria,Interés en su contenido,No Verified
471,1537,2022-04-13,Diaria,Interés en su contenido,No Verified
1332,1537,2023-02-03,Semanal,Interés en su contenido,No Verified
737,1538,2024-12-31,Ocasional,Interés en su contenido,No Verified
446,1538,2022-01-03,Diaria,Interés en su contenido,No Verified
291,1538,2021-06-18,Ocasional,Interés en su contenido,No Verified
546,1538,2023-04-11,Ocasional,Interés en su contenido,No Verified
583,1538,2023-09-29,Semanal,Interés en su contenido,No Verified
656,1538,2021-03-17,Ocasional,Interés en su contenido,No Verified
899,1538,2024-07-03,Ocasional,Interés en su contenido,No Verified
839,1538,2021-11-21,Ocasional,Interés en su contenido,No Verified
1026,1538,2024-03-01,Semanal,Interés en su contenido,No Verified
1092,1538,2020-07-05,Ocasional,Interés en su contenido,No Verified
508,1538,2021-03-24,Ocasional,Interés en su contenido,No Verified
430,1538,2023-01-31,Ocasional,Interés en su contenido,No Verified
658,1538,2024-01-12,Ocasional,Interés en su contenido,No Verified
192,1538,2024-04-03,Diaria,Interés en su contenido,No Verified
801,1538,2022-10-09,Ocasional,Interés en su contenido,No Verified
1480,1539,2022-10-24,Semanal,Interés en su contenido,No Verified
396,1539,2020-11-22,Semanal,Interés en su contenido,No Verified
380,1539,2023-10-04,Semanal,Interés en su contenido,No Verified
25,1539,2023-10-10,Ocasional,Interés en su contenido,No Verified
1243,1539,2021-06-18,Ocasional,Interés en su contenido,No Verified
1338,1539,2021-03-01,Ocasional,Interés en su contenido,No Verified
332,1540,2022-08-09,Semanal,Interés en su contenido,No Verified
984,1540,2022-12-09,Semanal,Interés en su contenido,No Verified
1390,1540,2024-12-18,Semanal,Interés en su contenido,No Verified
824,1540,2024-07-18,Diaria,Interés en su contenido,No Verified
1019,1540,2022-10-09,Ocasional,Interés en su contenido,No Verified
304,1540,2024-07-26,Mensual,Interés en su contenido,No Verified
457,1540,2022-06-17,Ocasional,Interés en su contenido,No Verified
240,1541,2024-04-01,Ocasional,Interés en su contenido,No Verified
1138,1541,2020-11-04,Diaria,Interés en su contenido,No Verified
1152,1541,2023-10-18,Diaria,Interés en su contenido,No Verified
147,1541,2025-01-14,Diaria,Interés en su contenido,No Verified
1166,1541,2022-01-26,Ocasional,Interés en su contenido,No Verified
726,1541,2023-10-02,Semanal,Interés en su contenido,No Verified
661,1541,2021-01-01,Diaria,Interés en su contenido,No Verified
966,1541,2024-05-15,Diaria,Interés en su contenido,No Verified
913,1541,2022-11-28,Semanal,Interés en su contenido,No Verified
578,1541,2023-05-13,Diaria,Interés en su contenido,No Verified
544,1541,2024-11-15,Semanal,Interés en su contenido,No Verified
906,1541,2021-08-15,Mensual,Interés en su contenido,No Verified
789,1541,2023-07-27,Mensual,Interés en su contenido,No Verified
9,1542,2024-09-19,Ocasional,Interés en su contenido,No Verified
631,1542,2020-09-17,Diaria,Interés en su contenido,No Verified
1275,1542,2022-05-14,Semanal,Interés en su contenido,No Verified
824,1542,2021-03-01,Ocasional,Interés en su contenido,No Verified
1090,1542,2023-04-14,Diaria,Interés en su contenido,No Verified
257,1543,2022-12-18,Ocasional,Interés en su contenido,No Verified
334,1543,2020-06-02,Mensual,Interés en su contenido,No Verified
338,1543,2020-11-25,Semanal,Interés en su contenido,No Verified
920,1543,2022-09-06,Mensual,Interés en su contenido,No Verified
1311,1543,2023-01-08,Semanal,Interés en su contenido,No Verified
110,1543,2024-01-16,Semanal,Interés en su contenido,No Verified
93,1543,2020-04-15,Mensual,Interés en su contenido,No Verified
364,1543,2020-04-09,Diaria,Interés en su contenido,No Verified
828,1543,2022-07-27,Ocasional,Interés en su contenido,No Verified
190,1543,2020-04-22,Mensual,Interés en su contenido,No Verified
887,1543,2020-12-19,Ocasional,Interés en su contenido,No Verified
60,1544,2024-04-18,Ocasional,Interés en su contenido,No Verified
187,1544,2021-10-13,Ocasional,Interés en su contenido,No Verified
758,1544,2022-02-07,Diaria,Interés en su contenido,No Verified
726,1544,2024-01-24,Ocasional,Interés en su contenido,No Verified
242,1544,2023-01-05,Semanal,Interés en su contenido,No Verified
1164,1545,2025-02-25,Ocasional,Interés en su contenido,No Verified
1352,1545,2020-12-09,Mensual,Interés en su contenido,No Verified
